# x/R,  y/R,  z/R,  Fx (mN),  Fy (mN),  Fz (mN)
-1.434137  1.013529  0.926018  -0.000696  -0.001085  0.000378
-1.434826  1.012420  0.926214  -0.000930  -0.001485  0.000396
-1.435881  1.011063  0.926110  -0.001311  -0.001872  -0.000055
-1.437226  1.009635  0.925325  -0.001441  -0.002033  -0.000729
-1.438669  1.008463  0.923616  -0.001196  -0.001883  -0.001243
-1.439959  1.007667  0.921331  -0.000688  -0.001584  -0.001275
-1.440807  1.007090  0.919141  -0.000122  -0.001245  -0.000792
-1.441072  1.006546  0.917767  0.000111  -0.000861  -0.000180
-1.441161  1.006009  0.917183  -0.000274  -0.000457  0.000070
-1.441839  1.005558  0.916824  -0.001148  -0.000241  -0.000139
-1.443477  1.005093  0.916213  -0.001983  -0.000334  -0.000571
-1.445757  1.004516  0.915214  -0.002369  -0.000577  -0.000943
-1.448083  1.003784  0.913995  -0.002288  -0.000808  -0.001063
-1.450117  1.002870  0.912751  -0.001940  -0.000948  -0.000951
-1.451743  1.001805  0.911642  -0.001574  -0.000841  -0.000764
-1.453093  1.000956  0.910621  -0.001375  -0.000500  -0.000680
-1.454372  1.000454  0.909554  -0.001282  -0.000291  -0.000740
-1.455552  1.000022  0.908338  -0.001075  -0.000496  -0.000922
-1.456451  0.999214  0.906890  -0.000770  -0.001012  -0.001157
-1.457015  0.997922  0.905233  -0.000583  -0.001440  -0.001388
-1.457482  0.996442  0.903346  -0.000654  -0.001535  -0.001588
-1.458077  0.995029  0.901201  -0.000829  -0.001397  -0.001740
-1.458718  0.993793  0.898768  -0.000966  -0.001166  -0.001747
-1.459236  0.992721  0.896311  -0.000972  -0.000891  -0.001600
-1.459343  0.991850  0.894002  -0.000723  -0.000615  -0.001512
-1.458839  0.991056  0.891663  -0.000352  -0.000448  -0.001656
-1.457921  0.990246  0.889080  -0.000299  -0.000461  -0.001928
-1.457457  0.989333  0.886254  -0.000818  -0.000542  -0.002092
-1.458041  0.988534  0.883537  -0.001429  -0.000591  -0.002027
-1.459296  0.987831  0.881234  -0.001483  -0.000731  -0.001769
-1.460301  0.987017  0.879486  -0.000896  -0.001011  -0.001547
-1.460566  0.985925  0.877915  -0.000109  -0.001239  -0.001509
-1.460260  0.984730  0.876217  0.000479  -0.001243  -0.001633
-1.459819  0.983629  0.874002  0.000658  -0.001060  -0.001819
-1.459613  0.982647  0.871304  0.000515  -0.000768  -0.001991
-1.459680  0.981862  0.868261  0.000362  -0.000487  -0.002104
-1.459780  0.981146  0.865127  0.000413  -0.000408  -0.002056
-1.459623  0.980347  0.862174  0.000644  -0.000637  -0.001805
-1.459205  0.979289  0.859632  0.000786  -0.001076  -0.001431
-1.458785  0.978066  0.857717  0.000686  -0.001384  -0.001118
-1.458550  0.976913  0.856241  0.000458  -0.001432  -0.001046
-1.458494  0.975902  0.854876  0.000252  -0.001367  -0.001334
-1.458534  0.974835  0.852912  0.000087  -0.001434  -0.001850
-1.458642  0.973413  0.850279  -0.000174  -0.001589  -0.002210
