# x/R,  y/R,  z/R,  Fx (mN),  Fy (mN),  Fz (mN)
-0.034147  0.455011  0.697003  -0.021655  -0.049715  0.020847
-0.052629  0.404620  0.711491  -0.016079  -0.052675  0.016077
-0.065625  0.351958  0.720988  -0.010378  -0.054576  0.010768
-0.072894  0.298051  0.725064  -0.004412  -0.055484  0.005252
-0.074192  0.243780  0.723744  0.001609  -0.055458  -0.000116
-0.069707  0.189949  0.717310  0.007311  -0.054477  -0.005160
-0.059963  0.137561  0.706179  0.012709  -0.052476  -0.009874
-0.045127  0.087738  0.690676  0.018225  -0.049370  -0.014299
-0.024878  0.041753  0.671131  0.024094  -0.045054  -0.018361
0.001200  0.000743  0.647893  0.029975  -0.039561  -0.022019
0.033074  -0.034465  0.621097  0.035289  -0.032967  -0.025276
0.070043  -0.063051  0.591063  0.039527  -0.025434  -0.028111
0.110687  -0.084184  0.558301  0.042391  -0.017498  -0.030476
0.153374  -0.097649  0.523540  0.043802  -0.009730  -0.032328
0.196489  -0.103669  0.487421  0.043961  -0.002233  -0.033528
0.239094  -0.102364  0.450697  0.043387  0.005234  -0.033754
0.280964  -0.093595  0.414298  0.042432  0.012790  -0.032780
0.321947  -0.077247  0.379302  0.041041  0.020188  -0.030622
0.361566  -0.053723  0.346740  0.038897  0.027096  -0.027591
0.398794  -0.023615  0.317318  0.035734  0.033345  -0.024097
0.432393  0.012253  0.291467  0.031514  0.038765  -0.020469
0.461250  0.052810  0.269230  0.026511  0.043202  -0.016865
0.484783  0.097035  0.250620  0.021121  0.046662  -0.013166
0.502790  0.144043  0.235810  0.015574  0.049179  -0.009121
0.515290  0.192978  0.225205  0.009807  0.050798  -0.004607
0.521949  0.243043  0.219253  0.003578  0.051500  0.000195
0.522261  0.293382  0.218049  -0.003201  0.051112  0.005010
0.515760  0.342766  0.221472  -0.010305  0.049526  0.009740
0.502386  0.389884  0.229408  -0.017202  0.046809  0.014468
0.482597  0.433636  0.241962  -0.023396  0.043123  0.019162
0.457250  0.473327  0.258964  -0.028671  0.038687  0.023604
0.427321  0.508383  0.280017  -0.033130  0.033580  0.027614
0.393556  0.538019  0.304561  -0.037048  0.027679  0.030993
0.356191  0.561393  0.331996  -0.040574  0.020848  0.033582
0.315259  0.577714  0.361784  -0.043526  0.013172  0.035294
0.271298  0.586427  0.393199  -0.045495  0.004918  0.036173
0.225743  0.587093  0.425325  -0.046213  -0.003560  0.036277
0.180305  0.579661  0.457050  -0.045783  -0.011832  0.035648
0.136133  0.564421  0.487587  -0.044373  -0.019524  0.034456
0.093939  0.541958  0.516639  -0.042036  -0.026492  0.032916
0.054375  0.512926  0.544125  -0.038861  -0.032846  0.031069
0.018216  0.477910  0.569676  -0.034992  -0.038643  0.028697
-0.013902  0.437446  0.592597  -0.030603  -0.043786  0.025548
-0.041585  0.392132  0.612062  -0.025749  -0.048155  0.021486
-0.064382  0.342835  0.627154  -0.020345  -0.051653  0.016645
-0.081614  0.290540  0.637231  -0.014401  -0.054166  0.011454
-0.092755  0.236551  0.642145  -0.008030  -0.055558  0.006402
-0.097431  0.181956  0.642276  -0.001354  -0.055756  0.001664
-0.095425  0.127829  0.637872  0.005508  -0.054721  -0.003001
-0.086701  0.075331  0.628916  0.012390  -0.052516  -0.007780
-0.071411  0.025616  0.615336  0.018993  -0.049312  -0.012521
-0.049957  -0.020429  0.597292  0.024911  -0.045332  -0.016925
-0.023152  -0.062201  0.575195  0.029963  -0.040652  -0.020828
0.008295  -0.099174  0.549492  0.034316  -0.035109  -0.024122
0.043854  -0.130430  0.520824  0.038152  -0.028504  -0.026794
0.082906  -0.154775  0.489865  0.041418  -0.020902  -0.028919
0.124669  -0.171323  0.457220  0.043895  -0.012685  -0.030454
0.168334  -0.179563  0.423451  0.045438  -0.004340  -0.031256
0.213148  -0.179627  0.389189  0.045970  0.003811  -0.031180
0.258234  -0.171784  0.355224  0.045383  0.011698  -0.030242
0.302435  -0.156216  0.322331  0.043580  0.019270  -0.028599
0.344468  -0.133286  0.291177  0.040669  0.026282  -0.026434
0.383229  -0.103895  0.262287  0.036973  0.032372  -0.023875
0.417844  -0.069295  0.236232  0.032740  0.037440  -0.020916
0.447777  -0.030476  0.213499  0.028113  0.041656  -0.017501
0.472860  0.011973  0.194452  0.023057  0.045235  -0.013656
0.492690  0.057617  0.179375  0.017438  0.048175  -0.009486
0.506736  0.105863  0.168490  0.011373  0.050326  -0.005063
0.514700  0.155843  0.162023  0.005024  0.051468  -0.000424
0.516321  0.206448  0.160157  -0.001642  0.051405  0.004266
0.511236  0.256410  0.162822  -0.008603  0.050145  0.008794
0.499371  0.304420  0.169705  -0.015515  0.047811  0.013127
0.481091  0.349307  0.180643  -0.021881  0.044500  0.017381
0.457103  0.390251  0.195668  -0.027483  0.040169  0.021590
0.427979  0.426503  0.214807  -0.032542  0.034725  0.025552
0.394053  0.457168  0.237653  -0.037209  0.028231  0.028917
0.355897  0.481197  0.263336  -0.041277  0.021035  0.031509
0.314344  0.497961  0.291029  -0.044516  0.013559  0.033286
0.270001  0.507359  0.320052  -0.046675  0.005944  0.034289
0.223854  0.509260  0.349893  -0.047527  -0.001911  0.034781
0.177227  0.503403  0.380228  -0.047106  -0.010001  0.034852
0.131529  0.489667  0.410432  -0.045722  -0.017923  0.034234
0.087609  0.468437  0.439577  -0.043724  -0.025213  0.032674
0.045932  0.440415  0.466705  -0.041056  -0.031739  0.030223
0.007230  0.406286  0.491111  -0.037352  -0.037632  0.027212
-0.027279  0.366512  0.512444  -0.032319  -0.043005  0.023872
-0.056228  0.321638  0.530406  -0.026173  -0.047679  0.020186
-0.078814  0.272549  0.544607  -0.019547  -0.051338  0.016161
-0.094812  0.220589  0.554699  -0.012983  -0.053763  0.011887
-0.104481  0.167139  0.560480  -0.006767  -0.054951  0.007415
-0.108218  0.113313  0.561753  -0.000961  -0.055023  0.002735
