# x/R,  y/R,  z/R,  Fx (mN),  Fy (mN),  Fz (mN)
-0.213377  -0.709530  -3.682774  -0.002679  -0.003604  -0.009952
-0.215964  -0.713338  -3.698312  -0.002337  -0.003691  -0.009773
-0.218133  -0.717300  -3.713586  -0.001961  -0.003667  -0.009450
-0.220047  -0.721218  -3.728261  -0.001834  -0.003613  -0.008980
-0.222096  -0.725104  -3.742190  -0.001924  -0.003776  -0.008431
-0.224270  -0.729256  -3.755478  -0.001986  -0.004144  -0.007961
-0.226327  -0.733687  -3.768250  -0.001935  -0.004303  -0.007767
-0.228079  -0.737932  -3.780848  -0.001756  -0.003980  -0.007933
-0.229387  -0.741627  -3.793796  -0.001559  -0.003298  -0.008314
-0.230459  -0.744648  -3.807559  -0.001539  -0.002470  -0.008710
-0.231572  -0.746946  -3.821841  -0.001571  -0.001582  -0.009030
-0.232611  -0.748353  -3.836224  -0.001299  -0.000813  -0.009311
-0.233151  -0.749074  -3.850641  -0.000619  -0.000532  -0.009578
-0.232936  -0.749737  -3.865428  0.000198  -0.000846  -0.009808
-0.232117  -0.750866  -3.880630  0.000822  -0.001368  -0.009961
-0.231000  -0.752406  -3.896051  0.001161  -0.001618  -0.010043
-0.229840  -0.753963  -3.911523  0.001168  -0.001473  -0.010053
-0.229027  -0.755245  -3.926864  0.000688  -0.001207  -0.009943
-0.229213  -0.756387  -3.941938  -0.000337  -0.001095  -0.009679
-0.230858  -0.757630  -3.956678  -0.001580  -0.001088  -0.009316
-0.233765  -0.758939  -3.971226  -0.002473  -0.000992  -0.009020
-0.237066  -0.760093  -3.985451  -0.002620  -0.000789  -0.008870
-0.239803  -0.760994  -3.999340  -0.002128  -0.000665  -0.008847
-0.241583  -0.761836  -4.013043  -0.001752  -0.000668  -0.008805
-0.243140  -0.762696  -4.026804  -0.002066  -0.000602  -0.008688
-0.245255  -0.763397  -4.040620  -0.002846  -0.000438  -0.008608
-0.248200  -0.763919  -4.054545  -0.003567  -0.000409  -0.008704
-0.251705  -0.764534  -4.068717  -0.003941  -0.000701  -0.008956
-0.255410  -0.765566  -4.083067  -0.004048  -0.001242  -0.009229
-0.259177  -0.767178  -4.097630  -0.004035  -0.001819  -0.009426
-0.262963  -0.769298  -4.112395  -0.003913  -0.002307  -0.009527
-0.266644  -0.771832  -4.127386  -0.003811  -0.002674  -0.009522
-0.270350  -0.774609  -4.142285  -0.003940  -0.002913  -0.009373
-0.274310  -0.777529  -4.156849  -0.004162  -0.003116  -0.009152
-0.278438  -0.780650  -4.171123  -0.004173  -0.003373  -0.008935
-0.282427  -0.784085  -4.185231  -0.003736  -0.003637  -0.008786
-0.285711  -0.787773  -4.199282  -0.002882  -0.003717  -0.008751
-0.288023  -0.791410  -4.213331  -0.002017  -0.003452  -0.008827
-0.289600  -0.794599  -4.227370  -0.001608  -0.003036  -0.008949
-0.291120  -0.797415  -4.241361  -0.001869  -0.002853  -0.008999
-0.293265  -0.800243  -4.255363  -0.002420  -0.002998  -0.008949
-0.295962  -0.803366  -4.269474  -0.002539  -0.003176  -0.008888
-0.298424  -0.806554  -4.283788  -0.001804  -0.003021  -0.008915
-0.299697  -0.809339  -4.298258  -0.000453  -0.002537  -0.009020
-0.299495  -0.811487  -4.312689  0.000881  -0.002003  -0.009132
-0.298174  -0.813111  -4.326955  0.001737  -0.001662  -0.009224
-0.296370  -0.814504  -4.341088  0.001950  -0.001489  -0.009340
