# Time (s),  Angular velocity (rad/s)
39.330927  -1.607353
39.372635  -1.769781
39.414344  -1.922623
39.456052  -2.063037
39.497760  -2.189032
39.539468  -2.294935
39.581177  -2.371441
39.622885  -2.406649
39.664593  -2.390468
39.706302  -2.325396
39.748010  -2.225778
39.789718  -2.118984
39.831427  -2.026102
39.873135  -1.952218
39.914843  -1.882858
39.956551  -1.797896
39.998260  -1.684177
40.039968  -1.542027
40.081676  -1.383561
40.123385  -1.225728
40.165093  -1.085204
40.206801  -0.968989
40.248510  -0.874683
40.290218  -0.792364
40.331926  -0.707520
40.373634  -0.604414
40.415343  -0.470365
40.457051  -0.298464
40.498759  -0.092487
40.540468  0.129156
40.582176  0.343262
40.623884  0.539436
40.665593  0.723506
40.707301  0.907060
40.749009  1.096935
40.790717  1.295565
40.832426  1.500559
40.874134  1.702625
40.915842  1.890294
40.957551  2.053726
40.999259  2.184968
41.040967  2.281531
41.082676  2.352101
41.124384  2.412493
41.166092  2.472966
41.207800  2.527388
41.249509  2.556746
41.291217  2.538969
41.332925  2.455110
41.374634  2.304908
41.416342  2.116473
41.458050  1.931463
41.499759  1.774411
41.541467  1.643935
41.583175  1.530061
41.624883  1.427032
41.666592  1.330533
41.708300  1.235544
41.750008  1.139590
41.791717  1.041611
41.833425  0.942435
41.875133  0.843841
41.916842  0.748068
41.958550  0.653670
42.000258  0.554671
42.041966  0.439939
42.083675  0.296345
42.125383  0.121220
42.167091  -0.072083
42.208800  -0.263886
42.250508  -0.442942
42.292216  -0.609162
42.333925  -0.767937
42.375633  -0.924736
42.417341  -1.083440
42.459049  -1.243862
42.500758  -1.401421
42.542466  -1.550572
42.584174  -1.689980
42.625883  -1.819853
42.667591  -1.940736
42.709299  -2.053110
42.751008  -2.154618
42.792716  -2.236855
42.834424  -2.290173
42.876132  -2.309504
42.917841  -2.296914
42.959549  -2.260612
43.001257  -2.211419
43.042966  -2.160932
43.084674  -2.111309
43.126382  -2.052033
43.168091  -1.967096
43.209799  -1.848157
43.251507  -1.700914
43.293215  -1.542858
43.334924  -1.392116
43.376632  -1.257290
43.418340  -1.137358
43.460049  -1.027661
43.501757  -0.924973
43.543465  -0.828159
43.585174  -0.735944
43.626882  -0.644437
43.668590  -0.544114
43.710298  -0.417124
43.752007  -0.244618
43.793715  -0.025513
43.835423  0.215559
43.877132  0.443305
43.918840  0.638209
43.960548  0.807319
44.002257  0.971699
44.043965  1.148503
44.085673  1.343619
44.127381  1.553071
44.169090  1.765336
44.210798  1.966080
44.252506  2.139791
44.294215  2.276268
44.335923  2.374881
44.377631  2.443488
44.419340  2.493141
44.461048  2.532228
44.502756  2.559225
44.544464  2.563191
44.586173  2.527512
44.627881  2.434787
44.669589  2.285620
44.711298  2.106302
44.753006  1.934754
44.794714  1.793093
44.836423  1.678193
44.878131  1.576702
44.919839  1.481508
44.961547  1.391775
45.003256  1.307636
45.044964  1.225713
45.086672  1.138220
45.128381  1.040148
45.170089  0.932650
45.211797  0.820944
45.253506  0.710028
45.295214  0.600797
45.336922  0.489148
45.378630  0.367595
45.420339  0.228924
45.462047  0.072143
45.503755  -0.096654
45.545464  -0.270256
45.587172  -0.446336
45.628880  -0.624830
45.670589  -0.804547
45.712297  -0.984308
45.754005  -1.163876
45.795713  -1.342967
45.837422  -1.518480
45.879130  -1.684943
45.920838  -1.835236
45.962547  -1.968300
46.004255  -2.089247
46.045963  -2.201826
46.087672  -2.302434
46.129380  -2.383875
46.171088  -2.439949
46.212796  -2.463383
46.254505  -2.445831
46.296213  -2.382448
46.337921  -2.282802
46.379630  -2.169526
46.421338  -2.067852
46.463046  -1.988800
46.504755  -1.924467
46.546463  -1.857204
46.588171  -1.772628
46.629879  -1.664070
46.671588  -1.529627
46.713296  -1.373759
46.755004  -1.210151
46.796713  -1.059836
46.838421  -0.936156
46.880129  -0.834216
46.921838  -0.737374
46.963546  -0.629779
47.005254  -0.498783
47.046962  -0.335045
47.088671  -0.140796
47.130379  0.063952
47.172087  0.251275
47.213796  0.407650
47.255504  0.543513
47.297212  0.681914
47.338921  0.839026
47.380629  1.016792
47.422337  1.208679
47.464045  1.407376
47.505754  1.607217
47.547462  1.799507
47.589170  1.974035
47.630879  2.121865
47.672587  2.238974
47.714295  2.325894
47.756004  2.386776
47.797712  2.427297
47.839420  2.451648
47.881128  2.458404
47.922837  2.438551
47.964545  2.382553
48.006253  2.287730
48.047962  2.166651
48.089670  2.040975
48.131378  1.927968
48.173087  1.831531
48.214795  1.744928
48.256503  1.660206
48.298211  1.572503
48.339920  1.478165
48.381628  1.375818
48.423336  1.270864
48.465045  1.171464
48.506753  1.081757
48.548461  0.997098
48.590170  0.907866
48.631878  0.807891
48.673586  0.696250
48.715294  0.573911
48.757003  0.439557
48.798711  0.288619
48.840419  0.119813
48.882128  -0.059218
48.923836  -0.237653
48.965544  -0.408052
49.007253  -0.568242
49.048961  -0.719326
49.090669  -0.864746
49.132377  -1.012126
49.174086  -1.170096
49.215794  -1.341063
49.257502  -1.517560
49.299211  -1.687323
49.340919  -1.838446
49.382627  -1.966530
49.424336  -2.072170
49.466044  -2.155969
49.507752  -2.217669
49.549460  -2.256952
49.591169  -2.275477
49.632877  -2.273570
49.674585  -2.250027
49.716294  -2.205628
49.758002  -2.148130
49.799710  -2.088221
49.841419  -2.034325
49.883127  -1.987452
49.924835  -1.939039
49.966543  -1.874099
50.008252  -1.781029
50.049960  -1.662527
50.091668  -1.531680
50.133377  -1.401248
50.175085  -1.277271
50.216793  -1.159793
50.258502  -1.046204
50.300210  -0.934296
50.341918  -0.821633
50.383626  -0.704316
50.425335  -0.578409
50.467043  -0.443779
50.508751  -0.304194
50.550460  -0.161300
50.592168  -0.012129
50.633876  0.143951
50.675585  0.303085
50.717293  0.464534
50.759001  0.631391
50.800709  0.805941
50.842418  0.986044
50.884126  1.171038
50.925834  1.367683
50.967543  1.578226
51.009251  1.789117
51.050959  1.975562
51.092668  2.119587
51.134376  2.219485
51.176084  2.286545
51.217792  2.332739
51.259501  2.368420
51.301209  2.398811
51.342917  2.421019
51.384626  2.425151
51.426334  2.396782
51.468042  2.331161
51.509751  2.236182
51.551459  2.126063
51.593167  2.011402
51.634875  1.898610
51.676584  1.790623
51.718292  1.687814
51.760000  1.586317
51.801709  1.480845
51.843417  1.371164
51.885125  1.262836
51.926834  1.165167
51.968542  1.081749
52.010250  1.005458
52.051958  0.924995
52.093667  0.835865
52.135375  0.740473
52.177083  0.638145
52.218792  0.523448
52.260500  0.390593
52.302208  0.236793
52.343917  0.065286
52.385625  -0.112959
52.427333  -0.282830
52.469041  -0.437239
52.510750  -0.583595
52.552458  -0.734841
52.594166  -0.898653
52.635875  -1.075357
52.677583  -1.257703
52.719291  -1.433901
52.761000  -1.595467
52.802708  -1.740450
52.844416  -1.869455
52.886124  -1.980685
52.927833  -2.070749
52.969541  -2.138181
53.011249  -2.184480
53.052958  -2.213704
53.094666  -2.230442
53.136374  -2.236954
53.178083  -2.231389
53.219791  -2.209120
53.261499  -2.166810
53.303207  -2.102271
53.344916  -2.017869
53.386624  -1.924225
53.428332  -1.833193
53.470041  -1.748782
53.511749  -1.666148
53.553457  -1.580276
53.595166  -1.489209
53.636874  -1.389820
53.678582  -1.279118
53.720290  -1.161588
53.761999  -1.048201
53.803707  -0.947409
53.845415  -0.859174
53.887124  -0.774929
53.928832  -0.684365
53.970540  -0.579903
54.012249  -0.456332
54.053957  -0.312491
54.095665  -0.154864
54.137373  0.003976
54.179082  0.154689
54.220790  0.298700
54.262498  0.445385
54.304207  0.604302
54.345915  0.783245
54.387623  0.986022
54.429332  1.208655
54.471040  1.440404
54.512748  1.664948
54.554456  1.867947
54.596165  2.039875
54.637873  2.178491
54.679581  2.286793
54.721290  2.369957
54.762998  2.432031
54.804706  2.476747
54.846415  2.504952
54.888123  2.512712
54.929831  2.492476
54.971539  2.432881
55.013248  2.333349
55.054956  2.209832
55.096664  2.086161
55.138373  1.977086
55.180081  1.881635
55.221789  1.790163
55.263498  1.696706
55.305206  1.603269
55.346914  1.516098
55.388622  1.436345
55.430331  1.355779
55.472039  1.266057
